Mes,Precio_m2
Abril 2016,7.2 €/m2
Marzo 2016,7.1 €/m2
Febrero 2016,7.0 €/m2
Enero 2016,7.0 €/m2
Diciembre 2015,6.9 €/m2
Noviembre 2015,6.9 €/m2
Octubre 2015,6.9 €/m2
Septiembre 2015,6.8 €/m2
Agosto 2015,6.9 €/m2
Julio 2015,6.8 €/m2
Junio 2015,6.7 €/m2
Mayo 2015,6.7 €/m2
Abril 2015,6.7 €/m2
Marzo 2015,6.6 €/m2
Febrero 2015,6.6 €/m2
Enero 2015,6.6 €/m2
Diciembre 2014,6.6 €/m2
Noviembre 2014,6.6 €/m2
Octubre 2014,6.6 €/m2
Septiembre 2014,6.5 €/m2
Agosto 2014,6.5 €/m2
Julio 2014,6.5 €/m2
Junio 2014,6.5 €/m2
Mayo 2014,6.4 €/m2
Abril 2014,6.4 €/m2
Marzo 2014,6.4 €/m2
Febrero 2014,6.4 €/m2
Enero 2014,6.4 €/m2
Diciembre 2013,6.4 €/m2
Noviembre 2013,6.4 €/m2
Octubre 2013,6.4 €/m2
Septiembre 2013,6.4 €/m2
Agosto 2013,6.4 €/m2
Julio 2013,6.5 €/m2
Junio 2013,6.4 €/m2
Mayo 2013,6.4 €/m2
Abril 2013,6.4 €/m2
Marzo 2013,6.4 €/m2
Febrero 2013,6.5 €/m2
Enero 2013,6.5 €/m2
Diciembre 2012,6.5 €/m2
Noviembre 2012,6.6 €/m2
Octubre 2012,6.7 €/m2
Septiembre 2012,6.6 €/m2
Agosto 2012,6.7 €/m2
Julio 2012,6.7 €/m2
Junio 2012,6.7 €/m2
Mayo 2012,6.8 €/m2
Abril 2012,6.8 €/m2
Marzo 2012,6.8 €/m2
Febrero 2012,6.7 €/m2
Enero 2012,6.8 €/m2
Diciembre 2011,6.9 €/m2
Noviembre 2011,6.9 €/m2
Octubre 2011,6.9 €/m2
Septiembre 2011,6.9 €/m2
Agosto 2011,6.9 €/m2
Julio 2011,6.8 €/m2
Junio 2011,6.8 €/m2
Mayo 2011,6.8 €/m2
Abril 2011,6.7 €/m2
Marzo 2011,6.7 €/m2
Febrero 2011,6.7 €/m2
Enero 2011,6.7 €/m2
Diciembre 2010,6.7 €/m2
Noviembre 2010,6.7 €/m2
Octubre 2010,6.7 €/m2
Septiembre 2010,6.7 €/m2
Agosto 2010,6.7 €/m2
Julio 2010,6.7 €/m2
Junio 2010,6.7 €/m2
Mayo 2010,6.7 €/m2
Abril 2010,6.7 €/m2
Marzo 2010,6.7 €/m2
Febrero 2010,6.6 €/m2
Enero 2010,6.6 €/m2
Diciembre 2009,6.6 €/m2
Noviembre 2009,6.6 €/m2
Octubre 2009,6.6 €/m2
Septiembre 2009,6.6 €/m2
Agosto 2009,6.6 €/m2
Julio 2009,6.6 €/m2
Junio 2009,6.6 €/m2
Mayo 2009,6.6 €/m2
Abril 2009,6.6 €/m2
Marzo 2009,6.6 €/m2
Febrero 2009,6.6 €/m2
Enero 2009,6.6 €/m2
Diciembre 2008,6.6 €/m2
Noviembre 2008,6.6 €/m2
Octubre 2008,6.6 €/m2
Septiembre 2008,6.6 €/m2
Agosto 2008,6.6 €/m2
Julio 2008,6.6 €/m2
Junio 2008,6.6 €/m2
Mayo 2008,6.6 €/m2
Abril 2008,6.6 €/m2
Marzo 2008,6.6 €/m2
Febrero 2008,6.6 €/m2
Enero 2008,6.6 €/m2
Diciembre 2007,6.6 €/m2
Noviembre 2007,6.6 €/m2
Octubre 2007,6.6 €/m2
Septiembre 2007,6.6 €/m2
Agosto 2007,6.6 €/m2
Julio 2007,6.6 €/m2
Junio 2007,6.6 €/m2
Mayo 2007,6.6 €/m2
Abril 2007,6.6 €/m2
Marzo 2007,6.6 €/m2
Febrero 2007,6.6 €/m2
Enero 2007,6.6 €/m2
Diciembre 2006,6.6 €/m2
Noviembre 2006,6.6 €/m2
Octubre 2006,6.6 €/m2
Septiembre 2006,6.6 €/m2
Agosto 2006,6.6 €/m2
Julio 2006,6.6 €/m2
Junio 2006,6.6 €/m2
Mayo 2006,6.6 €/m2
Abril 2006,6.6 €/m2
Marzo 2006,6.6 €/m2
Febrero 2006,6.6 €/m2
Enero 2006,6.6 €/m2
